filename,width,height,class,xmin,ymin,xmax,ymax
ASG000dz24.jpg,2048,1536,Impala,1141,883,1227,977
ASG000dz24.jpg,2048,1536,Impala,1340,876,1381,925
ASG000dz24.jpg,2048,1536,Impala,1448,803,1538,1042
ASG000dz24.jpg,2048,1536,Impala,1382,763,1485,1080
ASG000c7hr.jpg,2048,1536,Wildebeest,1987,680,2048,751
ASG000c7hr.jpg,2048,1536,Wildebeest,1922,697,2004,756
ASG000c7hr.jpg,2048,1536,Wildebeest,1840,664,1939,752
ASG000c7hr.jpg,2048,1536,Wildebeest,1618,685,1744,744
ASG000c7hr.jpg,2048,1536,Wildebeest,1531,647,1615,733
ASG000c7hr.jpg,2048,1536,Wildebeest,875,623,1045,706
ASG000c7hr.jpg,2048,1536,Wildebeest,1092,657,1148,705
ASG000c7hr.jpg,2048,1536,Wildebeest,1135,668,1183,706
ASG000c7hr.jpg,2048,1536,Wildebeest,309,607,417,676
ASG000c7hr.jpg,2048,1536,Wildebeest,1,563,223,682
ASG000clcb.jpg,2048,1536,Wildebeest,1457,648,1487,675
ASG000clcb.jpg,2048,1536,Wildebeest,1055,638,1093,672
ASG000clcb.jpg,2048,1536,Wildebeest,1082,642,1114,670
ASG000clcb.jpg,2048,1536,Wildebeest,893,638,930,668
ASG000clcb.jpg,2048,1536,Wildebeest,1868,209,2048,938
ASG000clcb.jpg,2048,1536,Wildebeest,1556,595,2048,1298
ASG000clcb.jpg,2048,1536,Wildebeest,1245,580,2048,1458
ASG000clcb.jpg,2048,1536,Wildebeest,1,494,50,752
ASG000clcb.jpg,2048,1536,Wildebeest,1,578,519,1244
ASG000clcb.jpg,2048,1536,Wildebeest,1,316,1571,1536
ASG000clcb.jpg,2048,1536,Wildebeest,296,568,873,1114
ASG000ehwa.jpg,2048,1536,Wildebeest,1,550,170,999
ASG000ehwa.jpg,2048,1536,Wildebeest,326,355,1362,1185
ASG000ehwa.jpg,2048,1536,Wildebeest,1998,902,2048,945
ASG000ehwa.jpg,2048,1536,Wildebeest,1674,892,1716,919
ASG000ehwa.jpg,2048,1536,Wildebeest,1781,893,1957,963
ASG000ehwa.jpg,2048,1536,Wildebeest,1944,917,1983,948
ASG000ehwa.jpg,2048,1536,Wildebeest,1542,886,1579,908
ASG000c2e8.jpg,2048,1536,Hippopotamus,1,972,171,1453
ASG000cuaq.jpg,2048,1536,Warthog,1,1132,160,1455
ASG000ctbl.jpg,2048,1536,GuineaFowl,893,573,1113,847
ASG000ctbl.jpg,2048,1536,GuineaFowl,1625,635,1788,879
ASG000ctbl.jpg,2048,1536,GuineaFowl,1259,516,1627,873
ASG000ctbl.jpg,2048,1536,GuineaFowl,1734,477,2048,798
ASG000bxte.jpg,2048,1536,Impala,1441,133,2048,1454
ASG000dval.jpg,2048,1536,Wildebeest,1944,700,2048,996
ASG000blo6.jpg,2048,1536,Zebra,1630,417,2017,1300
ASG000fhr3.jpg,2048,1536,Wildebeest,444,640,507,675
ASG000fhr3.jpg,2048,1536,Wildebeest,285,635,317,669
ASG000fhr3.jpg,2048,1536,Zebra,128,575,259,692
ASG000fhr3.jpg,2048,1536,Zebra,1,593,168,687
ASG000fhr3.jpg,2048,1536,Zebra,109,607,168,679
ASG000cyoz.jpg,2048,1536,Wildebeest,1,898,209,1141
ASG000cyoz.jpg,2048,1536,Wildebeest,200,904,457,1105
ASG000cyoz.jpg,2048,1536,Wildebeest,476,952,689,1123
ASG000cyoz.jpg,2048,1536,Wildebeest,708,881,1117,1177
ASG000cyoz.jpg,2048,1536,Wildebeest,1365,939,1881,1265
ASG000cyoz.jpg,2048,1536,Wildebeest,1891,977,2048,1139
ASG000e8mm.jpg,2048,1536,Impala,1918,790,2048,871
ASG000e8mm.jpg,2048,1536,Impala,1834,855,2048,1013
ASG000e8mm.jpg,2048,1536,Impala,1560,798,1665,913
ASG000e8mm.jpg,2048,1536,Impala,502,619,1252,1201
ASG000e8mm.jpg,2048,1536,Impala,411,916,674,1009
ASG000e8mm.jpg,2048,1536,Impala,50,820,310,996
ASG000e8mm.jpg,2048,1536,Impala,1,781,60,906
ASG000fcaz.jpg,2048,1536,Elephant,1,1,882,1536
ASG000ce1i.jpg,2048,1536,Wildebeest,888,691,1166,959
ASG000ce1i.jpg,2048,1536,Wildebeest,525,723,639,857
ASG000ce1i.jpg,2048,1536,Wildebeest,314,713,464,905
ASG000cpwd.jpg,2048,1536,Hartebeest,314,224,1842,1536
ASG000d9md.jpg,2048,1536,Zebra,1,1,724,579
ASG000d9md.jpg,2048,1536,Zebra,1,97,2048,1536
ASG000d9md.jpg,2048,1536,Zebra,144,1,2048,1536
ASG000bo7f.jpg,2048,1536,Buffalo,1,456,71,572
ASG000bo7f.jpg,2048,1536,Buffalo,201,835,244,867
ASG000bo7f.jpg,2048,1536,Buffalo,496,681,647,907
ASG000bo7f.jpg,2048,1536,Buffalo,1386,649,1725,941
ASG000fekl.jpg,2048,1536,Wildebeest,2001,748,2048,919
ASG000fekl.jpg,2048,1536,Wildebeest,1102,815,1196,937
ASG000fekl.jpg,2048,1536,Wildebeest,679,727,1048,1015
ASG000fekl.jpg,2048,1536,Wildebeest,424,785,549,911
ASG000fekl.jpg,2048,1536,Wildebeest,1,766,62,914
ASG000fekl.jpg,2048,1536,Wildebeest,333,813,372,844
ASG000dbcr.jpg,2048,1536,Zebra,1828,804,1882,839
ASG000dbcr.jpg,2048,1536,Zebra,42,607,99,663
ASG000dbcr.jpg,2048,1536,Zebra,84,634,124,666
ASG000dbcr.jpg,2048,1536,Zebra,115,630,154,673
ASG000dbcr.jpg,2048,1536,Hartebeest,290,662,318,689
ASG000dbcr.jpg,2048,1536,Zebra,1040,732,1076,756
ASG000dbcr.jpg,2048,1536,Zebra,1256,742,1299,782
ASG000dbcr.jpg,2048,1536,Zebra,1,1,1077,1319
ASG000dbey.jpg,2048,1536,GazelleGrants,1100,644,1300,774
ASG000dbey.jpg,2048,1536,GazelleGrants,355,457,1319,1139
ASG000bpca.jpg,2048,1536,Porcupine,1595,702,2048,1198
ASG000d4ij.jpg,2048,1536,Wildebeest,1982,644,2048,1058
ASG000d4ij.jpg,2048,1536,Wildebeest,1707,678,2048,1155
ASG000d4ij.jpg,2048,1536,Wildebeest,1154,853,1326,921
ASG000d4ij.jpg,2048,1536,Wildebeest,1354,847,1557,957
ASG000d4ij.jpg,2048,1536,Wildebeest,782,861,1051,983
ASG000d4ij.jpg,2048,1536,Wildebeest,791,825,1057,936
ASG000d4ij.jpg,2048,1536,Wildebeest,499,788,704,1017
ASG000d4ij.jpg,2048,1536,Wildebeest,65,773,417,1027
ASG000d4ij.jpg,2048,1536,Wildebeest,108,781,353,948
ASG000dx5k.jpg,2048,1536,Buffalo,184,866,458,958
ASG000dx5k.jpg,2048,1536,Buffalo,555,881,784,955
ASG000dx5k.jpg,2048,1536,Buffalo,458,900,578,942
ASG000b5yh.jpg,2048,1536,Warthog,1173,778,1325,1001
ASG000b5yh.jpg,2048,1536,KoriBustard,802,771,849,804
ASG000bi8c.jpg,2048,1536,Wildebeest,1482,1010,1836,1331
ASG000bi8c.jpg,2048,1536,Wildebeest,449,731,1352,1475
ASG000bi8c.jpg,2048,1536,Wildebeest,1,166,2048,1536
ASG000e9iv.jpg,2048,1536,Giraffe,1,1,774,1254
ASG000cz8r.jpg,2048,1536,Wildebeest,1,932,100,975
ASG000cz8r.jpg,2048,1536,Wildebeest,576,912,805,1049
ASG000cz8r.jpg,2048,1536,Wildebeest,1079,897,1297,1056
ASG000cz8r.jpg,2048,1536,Wildebeest,1285,879,1421,1063
ASG000cz8r.jpg,2048,1536,Wildebeest,1307,880,1449,1052
ASG000cz8r.jpg,2048,1536,Wildebeest,1396,852,1553,1069
ASG000cz8r.jpg,2048,1536,Wildebeest,1478,855,1663,1048
ASG000cz8r.jpg,2048,1536,Wildebeest,1505,857,1861,1073
ASG000cz8r.jpg,2048,1536,Wildebeest,1679,854,1944,1058
